"borough","label","kilometer"
"all","save","757.89"
"all","ok","1096.84"
"all","bad","616.26"
"all","mad","422.3"
"all","no","0"
"Lichtenberg","save","36.85"
"Lichtenberg","ok","81.09"
"Lichtenberg","bad","39.09"
"Lichtenberg","mad","19.35"
"Lichtenberg","no","0"
"Mitte","save","48.89"
"Mitte","ok","95.46"
"Mitte","bad","64.91"
"Mitte","mad","43.02"
"Mitte","no","0"
"Neukölln","save","41.75"
"Neukölln","ok","62.56"
"Neukölln","bad","20.82"
"Neukölln","mad","22.35"
"Neukölln","no","0"
"Pankow","save","48.05"
"Pankow","ok","145.77"
"Pankow","bad","77.74"
"Pankow","mad","57.26"
"Pankow","no","0"
"Tempelhof-Schöneberg","save","55.49"
"Tempelhof-Schöneberg","ok","77.35"
"Tempelhof-Schöneberg","bad","44.03"
"Tempelhof-Schöneberg","mad","43.6"
"Tempelhof-Schöneberg","no","0"
"Steglitz-Zehlendorf","save","122.19"
"Steglitz-Zehlendorf","ok","99.15"
"Steglitz-Zehlendorf","bad","50.82"
"Steglitz-Zehlendorf","mad","34.73"
"Steglitz-Zehlendorf","no","0"
"Charlottenburg-Wilmersdorf","save","72.25"
"Charlottenburg-Wilmersdorf","ok","82.9"
"Charlottenburg-Wilmersdorf","bad","44.41"
"Charlottenburg-Wilmersdorf","mad","47.1"
"Charlottenburg-Wilmersdorf","no","0"
"Friedrichshain-Kreuzberg","save","22.01"
"Friedrichshain-Kreuzberg","ok","59.83"
"Friedrichshain-Kreuzberg","bad","34.13"
"Friedrichshain-Kreuzberg","mad","21.81"
"Friedrichshain-Kreuzberg","no","0"
"Reinickendorf","save","66.33"
"Reinickendorf","ok","108.96"
"Reinickendorf","bad","53.66"
"Reinickendorf","mad","24.84"
"Reinickendorf","no","0"
"Spandau","save","87.26"
"Spandau","ok","85.82"
"Spandau","bad","45.65"
"Spandau","mad","13.06"
"Spandau","no","0"
"Treptow-Köpenick","save","96.9"
"Treptow-Köpenick","ok","116.9"
"Treptow-Köpenick","bad","82.75"
"Treptow-Köpenick","mad","62.38"
"Treptow-Köpenick","no","0"
"Marzahn-Hellersdorf","save","59.76"
"Marzahn-Hellersdorf","ok","81.05"
"Marzahn-Hellersdorf","bad","58.24"
"Marzahn-Hellersdorf","mad","32.8"
"Marzahn-Hellersdorf","no","0"
